iso3,research_share,production_share,n_studies_fractional,n_production_cells,fao_area_name,wb_region,wb_income_group,research_share_pct,production_share_pct,labelled_in_figure,plot_group,clipped_to_left_edge
ZMB,0.0016500424885940812,0.001691570523059971,3.3333333333333335,17,Zambia,Sub-Saharan Africa ,Lower middle income,0.16500424885940812,0.16915705230599712,False,log-log scatter,False
MOZ,0.0016087914263792293,0.0018687633364097124,3.25,16,Mozambique,Sub-Saharan Africa ,Low income,0.16087914263792294,0.18687633364097125,False,log-log scatter,False
BGR,0.0015919159918367897,0.0017550086878270325,3.2159090909090913,14,Bulgaria,Europe & Central Asia,High income,0.15919159918367898,0.17550086878270324,False,log-log scatter,False
HRV,0.0015300393985145117,0.0006514349912774955,3.090909090909091,12,Croatia,Europe & Central Asia,High income,0.15300393985145117,0.06514349912774955,False,log-log scatter,False
CRI,0.001485038239734673,0.0011180497983602343,3.0,15,Costa Rica,Latin America & Caribbean ,High income,0.1485038239734673,0.11180497983602343,False,log-log scatter,False
SLE,0.001485038239734673,0.000592565985463428,3.0,15,Sierra Leone,Sub-Saharan Africa ,Low income,0.1485038239734673,0.0592565985463428,False,log-log scatter,False
SAU,0.001485038239734673,0.00023140302369230857,3.0,10,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.1485038239734673,0.023140302369230856,False,log-log scatter,False
CYP,0.001485038239734673,2.066159006687043e-05,3.0,12,Cyprus,Europe & Central Asia,High income,0.1485038239734673,0.002066159006687043,False,log-log scatter,False
NER,0.001237531866445561,0.0013507807513977708,2.5,14,Niger,Sub-Saharan Africa ,Low income,0.12375318664455609,0.13507807513977707,False,log-log scatter,False
AUT,0.0012000309007956953,0.0012027327550730676,2.4242424242424243,12,Austria,Europe & Central Asia,High income,0.12000309007956954,0.12027327550730676,False,log-log scatter,False
BEN,0.0011137786798010047,0.0016083315051548162,2.25,16,Benin,Sub-Saharan Africa ,Lower middle income,0.11137786798010046,0.1608331505154816,False,log-log scatter,False
